Title,Body,Commerce,Image,Author
I'll be back.,"Wonderful hotel, stayed 3 nights, lovely room, great beds made for a good nights sleep after a long day! Good hotel service,reception staff always friendly & helpful! Would definitely stay again and recommend to anyone for business or family, good transport links via Victoria line, and hotel is very close to King's Cross station.",Travel to London for Less,,EmilyPhillips
Return Visitor,"I've stayed here three separate times with good reason.  The price is right (in a famously expensive city!), it's close to the financial district, and (and this is no small factor), the rooms manage to block out the noise of the traffic outside.  I have had some bad night's sleep in central London hotels on account of the noise, but these rooms are nice and quiet.  After an international flight with 3 days of meetings in front of you, that makes a big difference.  Wifi is so-so, but it is a hotel, after all!",Travel to London for Less,,EricaWebb
We never would've found this place on our own.,"This is why I love Nexus: the staff manages to unearth some hidden hotel gems, and this is one such example.  I'd have never thought to look for a place in this neighborhood, but my wife and I loved it.  There are of course, plenty of pubs in London, but the one attached to the hotel is actually quite good.  Great food (the ploughman's is tasty, but they have plenty more that's worth trying), and the landlord is a very funny guy.  We literally talked to him for hours.  I can't wait to go back.  Thanks for helping us find one of our favorite places, Nexus! ",Travel to London for Less,,PaulSimon
Aces!,Order.  The.  Cobbler.  #thankmelater,Travel to London for Less,,MollyTravels
Conveniently located close to Victoria Station but...,"<p>There were good things about this hotel – and there were bad.<br />The Good</p><ul><li>Great location for business</li><li>Helpful staff</li><li>Decent size rooms (for London) with modern bathrooms</li><li>Very clean</li><li>Breakfast included</li></ul><p><br />The Bad</p><ul><li>Not the best location for tourists – only stay here if you are on business</li><li>The food was...not good</li><li>A/C in my room didn't work. This was particularly bad as I could not open my window because it was SO loud.</li><li>The hardest bed I have ever had the misfortune to lie on</li><li>No closet</li><li>WiFi was brutally slow</li></ul><p>For me the A/C was the straw that broke the camel's back. On the plus side, they knocked 50% off my bill for the inconvenience. I might give this one another shot, but maybe in wintertime this time around.</p>",Travel to London for Less,,JenniferThomson
Paradise indeed!,"<p>For a start, given the deal we got through Nexus, I was not expecting the service level we received.  Free shuttle from the airport, staffed by a very friendly (hilarious, actually) local, who made it her mission to get us out of our city mindset and onto ""island time"" during the 15 minute drive to the hotel.  In retrospect, this really set the perfect tone for the week.  By the time we arrived at the lobby, (greeted with rum punch cocktails!), I had pushed aside my cares for what was happening back in the world.  As a result of this small gesture, my wife and I got right into maxing and relaxing and turned off the mobiles.</p><p>We actually had very simple requirements for our resort: affordable, no kids (sorry, parents!), and good beach location.  We were looking to log some serious chaise lounge time on a beautiful beach, and that's exactly what we got.  Service at these resorts can be a mixed bag, but we found the staff here to be generally very attentive and friendly.  They'd come around periodically to check in on you, see if you needed a drink (or another!), offer a towel, and even snacks.  Facilities and food were very good, but the staff went the extra mile and that made all the difference for us.</p><p>Oh yeah, beautiful beach too.</p>",Tropical Paradise at Reasonable Rates,,TomCasey
It Has a Lot of Positives,"Breakfast buffet was definitely one of them.  The swim-up bar in one of the pools was another, and the room size was very good as well.  What we didn't like was how raucous things could get around the pool at night.  It's fine if staying up past midnight is your thing, but we would have liked to be able to get to sleep a little earlier.  The other side of that coin is that you pretty much have the place to yourself until 9am, and we never had to wait for breakfast as a result.",Tropical Paradise at Reasonable Rates,,MelissaBrady
What an awesome adventure!,"Does this resort have a pool you can lounge by all day?  Yes it does.  Did we use it for that?  No, no we did not.  Well, not until the end of the day anyway.  There are so many options here for active people it seemed a shame not to take advantage.  Snorkeling and scuba diving among various reefs is a quick moped ride away.  Deep sea fishing charters were easily arranged by the concierge.  You can literally just grab a Hobie Cat from the beach attendant and take it out into the bay for as long as you like.  The beach streteches for miles and is great for shell collectors.  There's a zip line course less than a mile away...on and on.  Sure the pool is beautiful and we could've enjoyed just the sound of the waves, but it seemed a shame to do it.  This resort's location is close to it all.",Tropical Paradise at Reasonable Rates,,StephenDay
We thought we were in a movie.,"The interiors of the resort rooms and facilities are straight out of ""Dr. No"".  Classic British-inspired Carribean architecture.  Louvered doors, ceiling fans, thatched roofs on the bungalows, and a calypso band played every night by the pool to accompany each magnificent sunset over the bay.  The only thing missing was Puss Feller slinging rum drinks behind the bar!  Loved it, and we'll be back.  ",Tropical Paradise at Reasonable Rates,,PaulSimon
The reef is lovely...,"Great reef here with sections for beginners and experts alike.  A dazzling variety of fish, and corals including some I've never seen before.  There's a ship wreck a mile out as well for those feeling a bit more adventurous.  We were able to get a charter out with little difficulty.  Word of caution though:  there are morays on the reef, so don't go sticking your hand into any crevices!",Tropical Paradise at Reasonable Rates,,EricaWebb
Ideal for Business,"From the moment I stepped off the plane, I was met with an enthusiastic staff and tremendous weather. The conference in my hotel was excellent, and the food was much better than I had expected.",Make This Your New Office,,StephenDay
Views and Weather are Incredible,"Whether it was by the pool or on the balcony of my hotel room, the views were incredicle. I got up to watch the sun rise every morning and the views were beautiful. This hotel was perfect for getting work done, but not making it feel like work. I was able to feel relaxed and even inspired by what Sydney's weather and scenery had to offer",Make This Your New Office,,EmilyPhillips
